# Base profile of the inner-extremal family (triple root) (src/stability/triple_root_monotone.py, base0, sigma_min=1), units G=c=M=1, lambda=ell/M=0.27102, rho_c=1.625145, R-=0.67744, R+=1.98465; columns: R, m(R) (Misner-Sharp mass), rho(R) (= -T^t_t = -T^R_R), f = 1-2m/R, sigma = -d ln rho/d ln R; p_perp = -rho(1 - sigma/2)
R,m,rho,f,sigma
1.000000000000e-03,6.807308031583e-09,1.625145459901e+00,9.999863853839e-01,9.645761160053e-10
1.002479560048e-03,6.858071558695e-09,1.625145459897e+00,9.999863177828e-01,9.741785927802e-10
1.004965268313e-03,6.909214062323e-09,1.625145459893e+00,9.999862498451e-01,9.838768255918e-10
1.007457140042e-03,6.960737475324e-09,1.625145459889e+00,9.999861815710e-01,9.936714284674e-10
1.009955190516e-03,7.012645380339e-09,1.625145459885e+00,9.999861129574e-01,1.003563643092e-09
1.012459435057e-03,7.064940428762e-09,1.625145459881e+00,9.999860440030e-01,1.013554359223e-09
1.014969889022e-03,7.117624969594e-09,1.625145459877e+00,9.999859747071e-01,1.023644351208e-09
1.017486567808e-03,7.170703050304e-09,1.625145459873e+00,9.999859050659e-01,1.033835045877e-09
1.020009486851e-03,7.224176616880e-09,1.625145459869e+00,9.999858350796e-01,1.044127065989e-09
1.022538661623e-03,7.278048680915e-09,1.625145459865e+00,9.999857647462e-01,1.054521443691e-09
1.025074107635e-03,7.332323088054e-09,1.625145459860e+00,9.999856940624e-01,1.065019536037e-09
1.027615840439e-03,7.387001731456e-09,1.625145459856e+00,9.999856230287e-01,1.075621946795e-09
1.030163875621e-03,7.442088250219e-09,1.625145459852e+00,9.999855516420e-01,1.086329956623e-09
1.032718228809e-03,7.497585782708e-09,1.625145459847e+00,9.999854799004e-01,1.097144654858e-09
1.035278915670e-03,7.553496660124e-09,1.625145459843e+00,9.999854078035e-01,1.108066816957e-09
1.037845951908e-03,7.609825011157e-09,1.625145459838e+00,9.999853353477e-01,1.119097922064e-09
1.040419353266e-03,7.666573232936e-09,1.625145459834e+00,9.999852625324e-01,1.130238774335e-09
1.042999135527e-03,7.723744187084e-09,1.625145459829e+00,9.999851893565e-01,1.141490359744e-09
1.045585314513e-03,7.781342291560e-09,1.625145459825e+00,9.999851158156e-01,1.152854279825e-09
1.048177906086e-03,7.839369387732e-09,1.625145459820e+00,9.999850419106e-01,1.164331122224e-09
1.050776926144e-03,7.897829164637e-09,1.625145459815e+00,9.999849676388e-01,1.175922204562e-09
1.053382390629e-03,7.956725297293e-09,1.625145459810e+00,9.999848929973e-01,1.187628842610e-09
1.055994315520e-03,8.016060088121e-09,1.625145459806e+00,9.999848179863e-01,1.199451807858e-09
1.058612716836e-03,8.075837741814e-09,1.625145459801e+00,9.999847426021e-01,1.211392630692e-09
1.061237610634e-03,8.136061154576e-09,1.625145459796e+00,9.999846668436e-01,1.223452322340e-09
1.063869013015e-03,8.196733109799e-09,1.625145459791e+00,9.999845907099e-01,1.235631848731e-09
1.066506940115e-03,8.257858349270e-09,1.625145459786e+00,9.999845141967e-01,1.247932964702e-09
1.069151408115e-03,8.319438953269e-09,1.625145459781e+00,9.999844373044e-01,1.260356357276e-09
1.071802433231e-03,8.381478551880e-09,1.625145459776e+00,9.999843600307e-01,1.272903337678e-09
1.074460031724e-03,8.443981410702e-09,1.625145459771e+00,9.999842823722e-01,1.285575478040e-09
1.077124219891e-03,8.506949791126e-09,1.625145459765e+00,9.999842043292e-01,1.298373539960e-09
1.079795014073e-03,8.570387967683e-09,1.625145459760e+00,9.999841258982e-01,1.311299103470e-09
1.082472430650e-03,8.634299387762e-09,1.625145459755e+00,9.999840470775e-01,1.324353415537e-09
1.085156486042e-03,8.698686819048e-09,1.625145459750e+00,9.999839678665e-01,1.337537446000e-09
1.087847196710e-03,8.763555101796e-09,1.625145459744e+00,9.999838882609e-01,1.350853015521e-09
1.090544579157e-03,8.828906825991e-09,1.625145459739e+00,9.999838082606e-01,1.364301024760e-09
1.093248649926e-03,8.894745458916e-09,1.625145459733e+00,9.999837278638e-01,1.377882734586e-09
1.095959425600e-03,8.961075915276e-09,1.625145459728e+00,9.999836470663e-01,1.391600006806e-09
1.098676922806e-03,9.027900401782e-09,1.625145459722e+00,9.999835658687e-01,1.405453586261e-09
1.101401158209e-03,9.095223255604e-09,1.625145459716e+00,9.999834842679e-01,1.419445100414e-09
1.104132148517e-03,9.163048531938e-09,1.625145459711e+00,9.999834022611e-01,1.433576063960e-09
1.106869910480e-03,9.231378970408e-09,1.625145459705e+00,9.999833198484e-01,1.447847444733e-09
1.109614460888e-03,9.300219504031e-09,1.625145459699e+00,9.999832370254e-01,1.462261128149e-09
1.112365816574e-03,9.369573287098e-09,1.625145459693e+00,9.999831537914e-01,1.476818259054e-09
1.115123994411e-03,9.439443615125e-09,1.625145459687e+00,9.999830701453e-01,1.491520041102e-09
1.117889011316e-03,9.509836041711e-09,1.625145459681e+00,9.999829860819e-01,1.506368631799e-09
1.120660884246e-03,9.580752777415e-09,1.625145459675e+00,9.999829016022e-01,1.521364782339e-09
1.123439630202e-03,9.652198189134e-09,1.625145459669e+00,9.999828167034e-01,1.536510154353e-09
1.126225266225e-03,9.724177001360e-09,1.625145459663e+00,9.999827313819e-01,1.551806565925e-09
1.129017809400e-03,9.796691911854e-09,1.625145459656e+00,9.999826456380e-01,1.567254975967e-09
1.131817276853e-03,9.869747939618e-09,1.625145459650e+00,9.999825594676e-01,1.582857332956e-09
1.134623685754e-03,9.943348862623e-09,1.625145459643e+00,9.999824728692e-01,1.598615060052e-09
1.137437053314e-03,1.001749796381e-08,1.625145459637e+00,9.999823858420e-01,1.614529368737e-09
1.140257396788e-03,1.009220091585e-08,1.625145459630e+00,9.999822983811e-01,1.630602499205e-09
1.143084733474e-03,1.016746050497e-08,1.625145459624e+00,9.999822104868e-01,1.646835454098e-09
1.145919080710e-03,1.024328092198e-08,1.625145459617e+00,9.999821221566e-01,1.663229840755e-09
1.148760455880e-03,1.031966762741e-08,1.625145459611e+00,9.999820333864e-01,1.679787820370e-09
1.151608876411e-03,1.039662326177e-08,1.625145459604e+00,9.999819441766e-01,1.696510334885e-09
1.154464359772e-03,1.047415292209e-08,1.625145459597e+00,9.999818545236e-01,1.713399393430e-09
1.157326923475e-03,1.055226107455e-08,1.625145459590e+00,9.999817644248e-01,1.730456735579e-09
1.160196585076e-03,1.063095097563e-08,1.625145459583e+00,9.999816738799e-01,1.747683573752e-09
1.163073362176e-03,1.071022841085e-08,1.625145459576e+00,9.999815828842e-01,1.765082229811e-09
1.165957272418e-03,1.079009680429e-08,1.625145459569e+00,9.999814914370e-01,1.782653994183e-09
1.168848333488e-03,1.087056013277e-08,1.625145459562e+00,9.999813995369e-01,1.800400399687e-09
1.171746563117e-03,1.095162466523e-08,1.625145459554e+00,9.999813071785e-01,1.818323994830e-09
1.174651979081e-03,1.103329296783e-08,1.625145459547e+00,9.999812143628e-01,1.836425695275e-09
1.177564599198e-03,1.111557020639e-08,1.625145459539e+00,9.999811210863e-01,1.854707567565e-09
1.180484441332e-03,1.119846160537e-08,1.625145459532e+00,9.999810273457e-01,1.873171710178e-09
