R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.329903732209230764e-05,1.696750930708010752e+18,2.042218015628493433e+01,8.552879883805872253e-34,nan
2.330572382672388806e-05,1.694804550249135104e+18,2.042218015628493433e+01,8.572536094190021622e-34,nan
2.331241225029072792e-05,1.692860402526261760e+18,2.042218015628493433e+01,8.592237478435136056e-34,nan
2.331910259334353077e-05,1.690918484978171136e+18,2.042218015628493433e+01,8.611984140359676050e-34,nan
2.332579485643316620e-05,1.688978795046579712e+18,2.042218015628493433e+01,8.631776184020712849e-34,nan
2.333248904011065962e-05,1.687041330176139008e+18,2.042218015628493433e+01,8.651613713714455302e-34,nan
2.333918514492718893e-05,1.685106087814433280e+18,2.042218015628493433e+01,8.671496833976807508e-34,nan
2.334588317143409804e-05,1.683173065411973120e+18,2.042218015628493433e+01,8.691425649583919617e-34,nan
2.335258312018288670e-05,1.681242260422193664e+18,2.042218015628493433e+01,8.711400265552736928e-34,nan
2.335928499172521054e-05,1.679313670301452544e+18,2.042218015628493433e+01,8.731420787141550688e-34,nan
2.336598878661288442e-05,1.677387292509024768e+18,2.042218015628493433e+01,8.751487319850557449e-34,nan
2.337269450539788244e-05,1.675463124507099392e+18,2.042218015628493433e+01,8.771599969422420136e-34,nan
2.337940214863234133e-05,1.673541163760775680e+18,2.042218015628493433e+01,8.791758841842818848e-34,nan
2.338611171686854012e-05,1.671621407738065408e+18,2.042218015628493433e+01,8.811964043340987981e-34,nan
2.339282321065894082e-05,1.669703853909877504e+18,2.042218015628493433e+01,8.832215680390337159e-34,nan
2.339953663055614432e-05,1.667788499750028544e+18,2.042218015628493433e+01,8.852513859708937042e-34,nan
2.340625197711291756e-05,1.665875342735229184e+18,2.042218015628493433e+01,8.872858688260141967e-34,nan
2.341296925088218330e-05,1.663964380345087488e+18,2.042218015628493433e+01,8.893250273253108257e-34,nan
2.341968845241703035e-05,1.662055610062098944e+18,2.042218015628493433e+01,8.913688722143401465e-34,nan
2.342640958227069998e-05,1.660149029371649536e+18,2.042218015628493433e+01,8.934174142633524949e-34,nan
2.343313264099659268e-05,1.658244635762009344e+18,2.042218015628493433e+01,8.954706642673516855e-34,nan
